rabsyT;2;5;1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1;15,41,34,17,80,22,19,16,18,22,19,15,16,24,16,22,14,15,15,20,17,17,22,19,15,17,18,14,23,16,12,14,16,13,18,17,17,20,15,21,17,17,16,14,19,15,18,18,18,16,16,13,15,17,16,16,18,15,20,16,17,15,16,15,15,16,20,17,18,21,21,18,13,16,22,15,15,17,15,16,17,16,16,16,17,18,15,24,23,18,14,20,17,19,18,20;3,5,2,6,4,8,1,7,3,7,2,5,4,8,1,6,1,8,2,7,3,6,4,5,1,8,3,7,2,6,4,5,4,7,1,6,2,5,3,8,4,8,2,5,3,6,1,7,3,6,2,8,4,5,1,7,4,8,3,6,2,5,1,7,2,5,1,6,3,8,4,7,4,5,1,6,2,8,3,7,4,6,2,5,1,8,3,7,4,5,3,8,2,7,1,6
F8ZV84;2;3;-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1;12,12,13,23,13,12,15,13,14,14,11,9,12,12,14,11,7,7,9,8,7,4,5,10,7,10,10,10,9,10,7,10,11,8,15,9,9,8,8,9,7,9,8,5,8,9,10,8,9,9,9,9,10,8,10,7,9,9,11,9,9,9,8,11,7,15,9,11,9,13,10,11,9,12,12,9,13,3,33,8,1,8,8,7,17,7,8,9,10,9,9,13,10,12,6,16;4,7,1,5,3,8,2,6,2,7,3,8,1,5,4,6,3,8,1,6,2,7,4,5,1,5,2,6,3,8,4,7,2,5,3,7,1,8,4,6,2,7,4,5,1,8,3,6,1,7,3,8,4,6,2,5,2,8,1,5,3,6,4,7,3,7,1,5,4,8,2,6,3,5,2,7,1,8,4,6,2,7,3,8,1,6,4,5,3,6,1,7,2,5,4,8
Lk6qmC;1;3;-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,0,-1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1;31,42,37,21,33,18,55,29,57,21,57,20,35,32,37,31,20,34,16,24,22,37,26,18,42,31,45,23,11,25,41,34,52,49,50,36,66,70,36,0,19,33,48,54,20,24,60,22,43,14,17,18,25,3,22,18,15,15,22,24,31,17,22,32,45,16,43,16,57,91,45,65,23,63,49,23,24,30,19,25,17,68,69,18,33,28,23,19,27,30,24,47,31,15,19,30;1,5,2,7,4,8,3,6,4,8,2,7,3,5,1,6,4,6,3,8,1,5,2,7,1,5,2,7,3,6,4,8,2,5,1,8,3,7,4,6,3,7,4,8,2,6,1,5,3,7,4,5,2,8,1,6,3,6,1,8,4,5,2,7,4,7,3,8,1,6,2,5,3,7,2,6,1,8,4,5,1,6,4,7,2,8,3,5,4,6,2,7,3,8,1,5
27SKiZ;1;4;-1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1;34,27,27,32,37,26,24,30,32,27,31,32,28,26,32,25,47,29,45,37,34,37,36,27,31,30,38,40,28,35,36,38,36,34,37,44,45,29,40,36,48,42,38,42,44,26,36,37,35,50,32,45,41,35,38,36,39,45,37,40,40,30,44,33,37,41,38,43,40,36,36,37,43,29,45,29,37,39,27,40,38,32,38,42,51,29,32,30,33,37,45,40,37,33,37,39;1,5,4,6,2,8,3,7,1,5,4,8,3,6,2,7,4,6,2,5,1,7,3,8,3,8,2,5,4,6,1,7,3,7,1,6,4,8,2,5,3,5,4,8,1,6,2,7,1,6,3,5,2,8,4,7,2,6,4,8,3,5,1,7,3,7,2,6,4,5,1,8,1,7,2,6,4,5,3,8,3,8,4,6,2,7,1,5,4,7,2,8,1,5,3,6
CnawQ9;1;2;1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1;42,15,7,18,7,6,1,13,2,2,2,8,11,4,4,6,6,5,3,7,5,2,7,7,4,4,14,7,5,12,5,1,11,3,2,4,3,4,4,3,2,3,3,1,3,3,1,6,4,11,3,1,3,5,6,2,6,4,1,3,7,3,7,5,3,2,1,3,2,9,4,2,1,3,6,3,2,3,2,1,3,3,2,1,1,3,3,2,1,2,2,19,3,1,4,3;1,7,4,8,3,6,2,5,2,5,3,7,1,8,4,6,1,6,4,5,3,8,2,7,3,6,4,7,1,5,2,8,1,6,2,8,3,7,4,5,4,7,3,8,1,6,2,5,2,7,3,5,1,6,4,8,3,8,4,7,1,5,2,6,3,7,2,5,4,6,1,8,3,6,4,7,2,5,1,8,4,7,1,8,3,5,2,6,1,7,4,6,2,5,3,8
2d4R29;2;5;-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1;73,70,52,28,36,71,27,22,28,24,26,30,38,45,24,34,27,33,33,23,24,39,28,32,27,30,29,23,34,21,46,21,21,28,26,19,22,20,26,32,29,26,30,26,35,21,25,21,23,40,27,23,27,19,23,22,32,23,29,44,30,23,32,22,36,26,26,30,25,24,34,40,38,19,28,21,29,21,27,23,35,22,35,29,19,25,22,26,27,30,26,31,45,21,37,20;3,6,1,5,2,8,4,7,3,7,2,8,1,5,4,6,3,7,1,5,4,8,2,6,2,7,1,8,4,6,3,5,4,6,3,8,1,5,2,7,4,7,2,6,1,8,3,5,3,7,2,8,1,5,4,6,2,6,3,7,1,5,4,8,2,8,4,6,3,7,1,5,4,6,2,5,1,7,3,8,2,7,1,5,3,8,4,6,4,6,2,5,3,8,1,7
PSrARX;2;3;1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1;15,39,14,14,16,14,21,15,9,11,16,9,8,11,10,10,20,15,11,20,10,19,12,14,13,11,16,21,15,11,15,15,11,16,13,15,11,13,17,14,13,11,16,21,18,18,13,30,19,18,15,17,18,11,15,14,13,21,26,19,27,16,14,22,14,19,17,15,13,18,30,23,9,13,13,15,11,14,11,14,10,15,11,12,15,15,9,11,16,22,19,19,18,16,16,19;2,7,1,5,4,8,3,6,3,6,2,5,4,8,1,7,3,5,4,7,2,6,1,8,3,6,2,5,4,7,1,8,2,8,4,7,3,5,1,6,1,7,2,6,3,5,4,8,3,6,1,7,2,5,4,8,2,5,3,7,1,6,4,8,3,6,4,5,1,8,2,7,4,6,2,8,1,7,3,5,4,8,1,7,3,5,2,6,1,5,4,6,3,8,2,7
sPaGsX;1;2;1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1;45,32,102,37,38,33,58,35,23,31,25,29,26,32,31,36,20,28,26,39,28,34,32,28,29,26,22,39,32,29,20,68,29,43,35,27,39,48,31,46,33,29,83,25,34,27,63,29,24,25,23,16,31,22,17,18,14,17,17,53,49,25,24,23,15,21,76,44,34,66,27,53,43,37,32,37,31,39,30,31,35,34,29,34,34,27,35,41,12,94,22,30,25,28,83,26;3,7,1,5,4,6,2,8,4,7,2,8,1,6,3,5,2,8,4,6,1,7,3,5,2,7,3,6,1,5,4,8,1,7,4,8,2,6,3,5,3,7,4,6,2,8,1,5,4,8,2,6,1,7,3,5,4,5,2,7,1,8,3,6,1,7,4,6,3,8,2,5,1,5,4,6,2,7,3,8,1,7,3,8,2,5,4,6,4,6,1,5,3,8,2,7
wtENIY;1;6;-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1;14,13,10,26,17,7,14,15,14,16,16,13,15,15,15,17,15,15,9,18,15,13,11,18,13,11,12,7,12,12,8,15,11,12,11,12,11,10,9,12,11,12,11,11,11,11,10,10,15,11,14,11,13,10,14,12,13,9,13,14,10,13,13,9,8,10,9,15,8,11,14,10,17,12,15,14,12,12,13,16,17,16,15,19,22,15,18,15,17,19,22,16,17,16,22,14;4,7,3,6,2,8,1,5,3,6,4,7,1,8,2,5,4,5,1,8,3,7,2,6,1,6,4,8,2,5,3,7,1,8,3,5,4,7,2,6,2,6,3,5,4,8,1,7,4,6,1,7,3,8,2,5,3,8,2,5,1,6,4,7,2,6,4,7,3,5,1,8,2,8,4,6,1,5,3,7,3,8,1,5,4,7,2,6,1,8,2,7,4,5,3,6
HsUa3U;2;2;-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1;39,26,11,10,17,14,12,34,19,11,7,12,22,15,26,8,21,19,20,16,18,28,25,24,11,18,18,16,19,19,13,18,13,13,18,28,25,20,19,18,12,15,22,20,15,15,18,22,16,14,18,15,15,25,23,14,13,12,23,13,17,19,14,18,13,17,13,16,15,17,20,15,11,9,13,18,20,16,18,7,11,9,18,15,18,19,9,10,21,12,20,13,20,18,12,16;1,8,2,5,4,7,3,6,4,6,2,8,3,7,1,5,2,5,1,6,3,8,4,7,3,8,1,7,2,6,4,5,3,8,2,7,1,6,4,5,1,7,2,5,3,6,4,8,1,7,4,6,2,5,3,8,2,8,4,7,1,5,3,6,2,7,4,6,1,8,3,5,4,5,1,6,3,7,2,8,2,7,4,6,3,5,1,8,4,5,3,6,1,7,2,8
